Class: 8, Confidence: 0.94, Box: (150, 169, 26, 22), Color: Blue
Class: 5, Confidence: 0.91, Box: (418, 166, 21, 26), Color: Red
Class: 7, Confidence: 0.97, Box: (284, 172, 29, 20), Color: Green
Class: 8, Confidence: 0.94, Box: (150, 171, 28, 22), Color: Blue
Class: 5, Confidence: 0.93, Box: (419, 167, 21, 25), Color: Red
Class: 5, Confidence: 0.97, Box: (420, 171, 20, 23), Color: Red
Class: 7, Confidence: 0.96, Box: (286, 173, 24, 23), Color: Green
Class: 8, Confidence: 0.89, Box: (148, 174, 27, 22), Color: Blue
Class: 5, Confidence: 0.95, Box: (417, 168, 22, 25), Color: Red
Class: 7, Confidence: 0.89, Box: (281, 173, 25, 20), Color: Green
Class: 8, Confidence: 0.80, Box: (143, 174, 27, 22), Color: Blue
Class: 7, Confidence: 0.96, Box: (286, 175, 22, 26), Color: Green
Class: 7, Confidence: 0.92, Box: (287, 181, 22, 25), Color: Green
Class: 5, Confidence: 0.96, Box: (421, 180, 22, 24), Color: Red
Class: 7, Confidence: 0.96, Box: (285, 184, 27, 22), Color: Green
Class: 8, Confidence: 0.91, Box: (148, 187, 25, 22), Color: Unknown
Class: 5, Confidence: 0.97, Box: (421, 178, 22, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (286, 184, 22, 23), Color: Green
Class: 8, Confidence: 0.93, Box: (147, 184, 23, 27), Color: Blue
Class: 7, Confidence: 0.95, Box: (285, 183, 28, 22), Color: Green
Class: 8, Confidence: 0.94, Box: (147, 183, 23, 28), Color: Blue
Class: 5, Confidence: 0.93, Box: (423, 178, 22, 25), Color: Red
Class: 5, Confidence: 0.96, Box: (421, 178, 22, 25), Color: Red
Class: 8, Confidence: 0.92, Box: (145, 184, 24, 27), Color: Blue
Class: 7, Confidence: 0.91, Box: (282, 183, 24, 25), Color: Green
Class: 5, Confidence: 0.97, Box: (419, 177, 22, 25), Color: Red
Class: 7, Confidence: 0.95, Box: (281, 183, 23, 25), Color: Green
Class: 8, Confidence: 0.92, Box: (140, 183, 25, 27), Color: Blue
Class: 8, Confidence: 0.96, Box: (133, 183, 25, 29), Color: Blue
Class: 7, Confidence: 0.95, Box: (275, 181, 24, 25), Color: Green
Class: 5, Confidence: 0.91, Box: (414, 177, 22, 24), Color: Red
Class: 7, Confidence: 0.97, Box: (273, 181, 24, 24), Color: Green
Class: 8, Confidence: 0.95, Box: (132, 181, 25, 29), Color: Blue
Class: 5, Confidence: 0.89, Box: (413, 174, 22, 25), Color: Red
Class: 7, Confidence: 0.96, Box: (270, 180, 24, 25), Color: Green
Class: 5, Confidence: 0.92, Box: (411, 174, 22, 25), Color: Red
Class: 8, Confidence: 0.92, Box: (129, 182, 24, 28), Color: Blue
Class: 7, Confidence: 0.96, Box: (270, 180, 23, 25), Color: Green
Class: 5, Confidence: 0.93, Box: (411, 174, 22, 25), Color: Red
Class: 8, Confidence: 0.92, Box: (129, 182, 24, 27), Color: Blue
Class: 5, Confidence: 0.96, Box: (409, 174, 22, 24), Color: Red
Class: 8, Confidence: 0.92, Box: (126, 181, 25, 27), Color: Blue
Class: 7, Confidence: 0.92, Box: (270, 179, 22, 25), Color: Green
